UNIDAD;NEGOCIO;LINEA/PROCESO;Periodo Admon;FUENTE INFORMACIÓN;Suma de VALOR ANTES IVA
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/01;Ejecutado;395428296,7
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/02;Ejecutado;60556593,47
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/03;Ejecutado;66489379,64
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/04;Ejecutado;64953577,04
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/05;Ejecutado;91993838,41
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/06;Ejecutado;138069243,9
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/07;Ejecutado;139851097
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/08;Ejecutado;70669120,86
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/09;Ejecutado;130597437,9
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/10;Ejecutado;86244456,4
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/11;Ejecutado;52962810
BIENESTAR Y DESARROLLO SOCIAL;ADMON BIENESTAR;ADMINISTRACIÓN BIENESTAR;2022/12;Ejecutado;304246537
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/01;Ejecutado;66569223,46
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/02;Ejecutado;84835738,09
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/03;Ejecutado;84770336,54
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/04;Ejecutado;73414177,37
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/05;Ejecutado;93271643,13
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/06;Ejecutado;104495384,2
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/07;Ejecutado;79088062,61
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/08;Ejecutado;72485760,43
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/09;Ejecutado;97106610,4
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/10;Ejecutado;62482085,98
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/11;Ejecutado;57354727
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ADMINISTRACION;2022/12;Ejecutado;131973619
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/01;Ejecutado;4246234,246
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/02;Ejecutado;4258177,841
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/03;Ejecutado;4100916,518
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/04;Ejecutado;3632507,353
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/05;Ejecutado;4564486,729
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/06;Ejecutado;5407407,709
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/07;Ejecutado;3246760,337
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/08;Ejecutado;3386002,939
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/09;Ejecutado;5043373,216
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/10;Ejecutado;3808850,019
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/11;Ejecutado;3616874
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI EMPRESARIAL;2022/12;Ejecutado;8488206
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/01;Ejecutado;5997978,621
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/02;Ejecutado;5298026,11
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/03;Ejecutado;8044220,204
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/04;Ejecutado;4528435,638
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/05;Ejecutado;4760092,615
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/06;Ejecutado;5195194,598
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/07;Ejecutado;4674699,072
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/08;Ejecutado;13104693,52
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/09;Ejecutado;6067460,389
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/10;Ejecutado;5589882,247
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/11;Ejecutado;5765535
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;ALI INDIVIDUAL;2022/12;Ejecutado;17910038
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2022/02;Ejecutado;118981
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2022/03;Ejecutado;215206,9626
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2022/04;Ejecutado;158069,0676
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2022/05;Ejecutado;269194,2524
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2022/06;Ejecutado;125767,6079
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2022/07;Ejecutado;-36,75623557
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2022/08;Ejecutado;152355
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2022/09;Ejecutado;176146,7952
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2022/10;Ejecutado;172304,2601
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2022/11;Ejecutado;141159
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;CONVENIOS ESTRATEGICOS ALIMENTOS;2022/12;Ejecutado;164036
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/01;Ejecutado;10715563,67
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/02;Ejecutado;18291187,63
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/03;Ejecutado;8410807,769
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/04;Ejecutado;8102126,738
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/05;Ejecutado;12608407,79
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/06;Ejecutado;18258515,5
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/07;Ejecutado;264012564,1
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/08;Ejecutado;19655123,22
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/09;Ejecutado;6012946,887
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/10;Ejecutado;20844747,16
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/11;Ejecutado;22867138
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;JARDINES;2022/12;Ejecutado;24164778
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/01;Ejecutado;1053552,768
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/02;Ejecutado;1028261,684
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/03;Ejecutado;1997201,804
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/04;Ejecutado;950164,7128
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/05;Ejecutado;1491324,508
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/06;Ejecutado;1360009,272
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/07;Ejecutado;931715,3131
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/08;Ejecutado;2948994,577
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/09;Ejecutado;1392179,33
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/10;Ejecutado;1353685,503
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/11;Ejecutado;1376153
BIENESTAR Y DESARROLLO SOCIAL;ALIMENTOS;PRODUCCION;2022/12;Ejecutado;3220882
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2022/01;Ejecutado;9269904,183
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;ATENCION ESPECIALIZADA ADULTO MAYOR;2022/02;Ejecutado;7171224,276
